cluster_id,num_actions,mean_sentiment,std_sentiment,mean_layers,mean_pos_ratio,mean_neg_ratio,mean_trans_ratio,example_actions
0,11,1.0078310837904663,1.0283246394901717,2.365938037167979,0.3022756687107117,0.19063516188583687,0.5070891694034514,"abstracting, connecting, creating, emotion_facilitation, emotion_receiving"
1,10,-0.9767657369797345,0.6848018065717288,4.012560855551504,0.05548942330674624,0.6813109348076625,0.2631996418855912,"analogical_thinking, convergent_thinking, counterfactual_reasoning, divergent_thinking, emotion_valuing"
2,4,-0.7937695898144678,1.2205691735381567,2.2055359820089953,0.0625,0.5398050974512744,0.3976949025487256,"cognition_awareness, perspective_taking, reconsidering, zooming_in"
3,8,-0.3682734071664668,0.8113945165756836,2.479058068560729,0.18179260664095745,0.5181432806732169,0.30006411268582567,"applying, distinguishing, emotion_perception, emotion_responding, evaluating"
4,3,1.6062966922163697,0.5711831339717477,5.709645365975383,0.43367043907459507,0.028921794117818315,0.5374077668075866,"concretizing, emotion_management, emotion_organizing"
5,9,1.527445890346928,0.5588214753393709,3.1123686580191414,0.43831769167375,0.10447640390193112,0.45720590442431885,"accepting, analyzing, attentional_deployment, emotion_characterizing, metacognitive_monitoring"
